第一类精神药品,第二类精神药品,肽类激素,蛋白同化制剂,医疗用毒性药品,抗生素制剂,抗生素原料药,药用罂粟壳,麻醉药品,中药饮片,生物制品,其他
0,0,0,0,0,1,0,0,0,1,1,3
1,1,1,1,0,1,0,0,1,1,1,4
0,0,1,1,0,1,1,0,0,1,1,3
0,0,0,0,0,1,1,0,0,0,1,3
0,1,1,1,0,1,0,0,0,0,1,2
0,0,1,1,0,1,0,0,0,1,1,4
0,0,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,1,0,0,0,1,0,2
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,1,0,0,0,1,1,3
0,0,1,1,0,1,0,0,0,1,1,3
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1,0,3
0,0,0,0,0,1,1,0,0,0,0,3
0,0,0,0,0,1,0,0,0,0,1,2
0,0,1,1,1,1,1,0,0,0,1,3
0,0,0,0,0,1,0,0,0,1,1,3
0,0,0,0,0,1,0,0,0,1,1,3
0,0,0,0,0,1,0,0,0,1,1,3
0,0,0,0,0,1,0,0,0,1,1,3
0,0,1,1,0,1,0,0,0,1,1,2
0,0,0,0,0,1,0,0,0,1,0,3
0,0,0,0,0,1,1,0,0,1,0,3
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,1,0,0,1,1,4
0,0,1,1,0,1,1,0,0,1,1,3
0,0,0,0,0,1,0,0,0,0,1,2
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,1,1,0,0,0,1,3
0,0,0,0,0,1,0,0,0,1,1,3
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1,2
0,1,1,1,0,1,0,0,0,1,1,2
0,0,1,1,0,1,1,0,0,1,1,3
1,1,1,1,0,1,0,0,1,0,1,2
0,0,0,0,0,1,1,0,0,1,1,3
0,0,1,1,0,1,0,0,0,1,1,4
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1,2
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,1,0,0,0,1,0,4
0,1,1,1,0,1,0,0,0,1,1,3
0,0,0,0,0,1,0,0,0,0,1,2
0,0,0,0,0,1,0,0,0,0,1,2
0,0,0,0,0,1,0,0,0,1,1,4
0,1,1,1,0,1,1,0,0,0,1,3
0,0,0,0,0,1,1,0,0,0,1,3
0,0,1,1,0,1,0,0,0,1,1,3
0,0,0,0,0,1,1,0,0,0,1,3
0,0,0,0,0,1,0,0,0,1,1,3
0,0,0,0,0,1,0,0,0,1,0,3
1,1,1,1,1,1,0,1,1,0,1,3
0,1,1,1,0,1,0,0,0,1,1,2
0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,0,1,0,0,0,1,1,2
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,1
0,1,1,1,1,1,0,0,0,1,1,2
0,0,1,1,0,1,0,0,0,1,1,3
0,1,0,0,0,1,0,0,0,0,1,2
0,1,1,1,0,1,0,0,0,1,1,2
0,0,0,0,0,1,0,0,0,0,1,3
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1,0,4
0,0,0,0,0,1,0,0,0,0,1,2
0,0,0,0,0,1,1,0,0,1,1,4
0,0,1,1,0,1,1,0,0,1,1,4
0,1,1,1,0,1,0,0,0,1,1,4
0,0,1,1,0,1,0,0,0,1,1,2
0,0,0,0,0,0,1,0,0,1,0,3
0,0,1,1,0,1,1,0,0,0,1,3
0,0,0,0,0,1,0,0,0,1,1,3
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1,2
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,1,0,0,0,1,1,2
0,1,1,1,0,1,0,0,0,0,1,3
0,0,1,1,0,1,0,0,0,1,1,4
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,1,0,0,0,1,1,2
0,1,1,1,0,1,0,0,0,1,1,4
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,1,2
1,1,1,1,0,1,0,0,1,1,1,3
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,1,0,0,0,1,1,2
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,1,0,0,1,1,3
0,0,0,0,0,1,0,0,0,1,1,3
0,0,0,0,0,1,1,0,0,1,1,4
0,0,0,0,0,1,0,0,0,0,0,2
4,17,29,29,3,86,19,1,4,76,77,247
